sample_id,scene,subject,round,step_id,data_split,trap_injected,proposed_move,proposed_dist,proposed_ang,P,O_original,O,F,B_original,B,L_original,L,min_frontal_dist,min_frontal_dist_recomputed,risk_score,risk_entropy,risk_level_entropy,weight_version,threshold_version,collision_count,collision_event,stuck
corridor_B_R01_S000,corridor,B,1,0,calibration,False,turn,0.0,-90.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.23,7.45,0.0,3.991891447710899e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S001,corridor,B,1,1,calibration,False,turn,0.0,80.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.26,2.22,0.0,3.991891447710899e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S002,corridor,B,1,2,calibration,False,walk,2.0,0.0,0.0,0.3026,0.0,0.0,0.0,0.0,0.0,0.0,6.61,6.61,0.1059,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S003,corridor,B,1,3,calibration,False,walk,2.0,0.0,0.0,0.2611,0.0,0.0,0.0,0.0,0.0,0.0,7.66,7.66,0.0914,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S004,corridor,B,1,4,calibration,False,turn,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.17,5.97,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S005,corridor,B,1,5,calibration,False,walk,2.0,0.0,0.0,0.5195,0.0,0.0,0.0,0.0,0.0,0.0,3.85,3.85,0.1818,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S006,corridor,B,1,6,calibration,False,turn,0.0,-30.0,0.0012,0.0,0.0,0.0012,0.0,0.0,0.0,0.0,1.74,1.95,0.0002,0.00047902697372530776,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S007,corridor,B,1,7,calibration,False,walk,2.0,0.0,0.0,0.4464,0.0,0.0,0.0,0.0,0.0,0.0,4.48,4.48,0.1563,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S008,corridor,B,1,8,calibration,False,walk,0.87,0.0,0.0041,0.4143,0.0,0.0041,0.0,0.1579,0.0,0.0,2.1,2.1,0.1458,0.036221479148688944,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S009,corridor,B,1,9,calibration,False,turn,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.0,0.0,3.73,1.25,0.0,0.0922334440733007,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S010,corridor,B,1,10,calibration,False,walk,2.0,0.0,0.0,0.5348,0.0,0.0,0.0,0.0,0.0,0.0,3.74,3.74,0.1872,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S011,corridor,B,1,11,calibration,False,turn,0.0,25.0,0.0019,0.0,0.0,0.0019,0.0,0.0,0.0,0.0,1.65,1.78,0.0004,0.0007584593750650708,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S012,corridor,B,1,12,calibration,False,turn,0.0,-85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,1.44,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S013,corridor,B,1,13,calibration,False,turn,0.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.15,4.75,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S014,corridor,B,1,14,calibration,False,walk,2.0,0.0,0.0,0.4228,0.0,0.0,0.0,0.0,0.0,0.0,4.73,4.73,0.148,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S015,corridor,B,1,15,calibration,False,walk,1.92,0.0,0.0002,0.7033,0.0,0.0002,0.0,0.0,0.0,0.0,2.73,2.73,0.2462,7.983782895421797e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S016,corridor,B,1,16,calibration,False,turn,0.0,85.0,0.0452,0.0,0.0,0.0452,0.25,1.0,0.0,0.0,1.01,0.64,0.0965,0.23707313816649986,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,3,1,0
corridor_B_R01_S017,corridor,B,1,17,calibration,False,turn,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.0,0.5,2.65,1.27,0.0,0.28312397727633243,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S018,corridor,B,1,18,calibration,False,walk,2.0,0.0,0.0,0.5305,0.0,0.0,0.0,0.0,0.0,0.0,3.77,3.77,0.1857,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S019,corridor,B,1,19,calibration,False,walk,2.0,0.0,0.0043,0.9569,0.775,0.775,0.0,0.0,0.0,0.0,2.09,2.09,0.3358,0.30937158719759467,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,1,1,0
corridor_B_R01_S020,corridor,B,1,20,calibration,False,turn,0.0,20.0,0.6106,0.0,0.0,0.6106,0.5385,0.7368,0.5,0.5,0.31,0.36,0.3606,0.5960165734049326,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S021,corridor,B,1,21,calibration,False,walk,2.0,0.0,0.6106,1.0,1.0,1.0,0.5385,0.5263,0.5,0.5,0.91,0.91,0.7106,0.7053550558315858,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,1,1,0
corridor_B_R01_S022,corridor,B,1,22,calibration,False,walk,2.0,0.0,0.0,0.5405,0.0,0.0,0.0,0.1579,0.0,0.0,3.7,3.7,0.1892,0.03458480365512748,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S023,corridor,B,1,23,calibration,False,turn,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.1579,0.0,0.0,4.18,1.62,0.0,0.03458480365512748,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S024,corridor,B,1,24,calibration,False,walk,2.0,0.0,0.0,0.4107,0.0,0.0,0.0,0.0,0.0,0.0,4.87,4.87,0.1437,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S025,corridor,B,1,25,calibration,True,turn,0.0,65.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.37,2.92,0.0,3.991891447710899e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S026,corridor,B,1,26,calibration,False,walk,2.84,0.0,0.0008,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.43,2.43,0.3502,0.39918914477108985,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,9,1,0
corridor_B_R01_S027,corridor,B,1,27,calibration,False,turn,0.0,-90.0,0.8808,0.0,0.0,0.8808,1.0,0.8947,1.0,0.5,0.0,0.0,0.6262,0.7384622839772086,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,1,1,0
corridor_B_R01_S028,corridor,B,1,28,calibration,False,turn,0.0,80.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.29,2.17,0.0,3.991891447710899e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S029,corridor,B,1,29,calibration,False,walk,2.0,0.0,0.0,0.3063,0.0,0.0,0.0,0.0,0.0,0.0,6.53,6.53,0.1072,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S030,corridor,B,1,30,calibration,False,walk,2.0,0.0,0.0,0.4219,0.0,0.0,0.0,0.0526,0.0,0.0,4.74,4.74,0.1477,0.011520966892081732,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S031,corridor,B,1,31,calibration,False,turn,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,3.39,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S032,corridor,B,1,32,calibration,False,walk,2.0,0.0,0.0,0.551,0.0,0.0,0.0,0.0,0.0,0.0,3.63,3.63,0.1928,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S033,corridor,B,1,33,calibration,False,turn,0.0,-35.0,0.0006,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,1.87,1.59,0.0001,0.00023951348686265388,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S034,corridor,B,1,34,calibration,False,walk,2.0,0.0,0.0,0.4049,0.0,0.0,0.0,0.0,0.0,0.0,4.94,4.94,0.1417,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S035,corridor,B,1,35,calibration,False,turn,0.0,-15.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0,1.46,3.04,0.001,0.0019959457238554494,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S036,corridor,B,1,36,calibration,False,turn,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.39,1.92,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S037,corridor,B,1,37,calibration,False,walk,2.0,0.0,0.0,0.4073,0.0,0.0,0.0,0.1579,0.1,0.0556,4.91,4.91,0.1526,0.0558118309473046,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S038,corridor,B,1,38,calibration,False,turn,0.0,25.0,0.0035,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,1.53,3.0,0.0007,0.0013971620066988144,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S039,corridor,B,1,39,calibration,False,turn,0.0,-70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.96,1.37,0.0,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S040,corridor,B,1,40,calibration,False,walk,2.0,0.0,0.0,0.4158,0.0,0.0,0.0,0.0,0.0,0.0,4.81,4.81,0.1455,0.0,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
corridor_B_R01_S041,corridor,B,1,41,calibration,False,walk,1.97,0.0,0.0001,0.7086,0.0,0.0001,0.0,0.0,0.0,0.0,2.78,2.78,0.248,3.991891447710899e-05,unassigned,entropy_cal35_seed20260822_fmax_po_unified_fbl,pending_quantile_validation,0,0,0
