population,method,indicator_1,indicator_2,bootstrap_median,ci_2_5,ci_97_5
all,pearson,B,L,0.5724353438313312,0.5133756407275739,0.6299216256646745
all,pearson,F,B,0.589387059796447,0.5209277301531398,0.6575528262365883
all,pearson,F,L,0.49988133210161256,0.419735841335011,0.5747616274518429
all,spearman,B,L,0.6031021989038111,0.5560430784006573,0.6466950392417323
all,spearman,F,B,0.4795204549404578,0.42696487690743445,0.536108642562321
all,spearman,F,L,0.39948646650701236,0.3350066592479304,0.46934953056153317
turn,pearson,B,L,0.5436252270979316,0.4826293030825202,0.6078736358872235
turn,pearson,F,B,0.6125774717463721,0.5422310089413653,0.6801185861031529
turn,pearson,F,L,0.6302437646339005,0.5592018037681972,0.6922906834801935
turn,spearman,B,L,0.5803149045349514,0.5331778533559405,0.6300715446404018
turn,spearman,F,B,0.5087412458051197,0.4490146473195972,0.5740737400903889
turn,spearman,F,L,0.46082743006950416,0.3794438403201468,0.5432568034595276
walk,pearson,B,L,0.6303451317228232,0.5740752122630676,0.6847837454866028
walk,pearson,F,B,0.7133557675646847,0.6646246150255944,0.7651186023323354
walk,pearson,F,L,0.45388215233932316,0.3648244727702036,0.5343876041319625
walk,spearman,B,L,0.6269569904889565,0.5812251498373723,0.6771944012010547
walk,spearman,F,B,0.4059258156557521,0.34160820919847196,0.4842223403858283
walk,spearman,F,L,0.39346997484645224,0.32082097666448284,0.46924512477806624
