population,scope,method,n_steps,indicator_1,indicator_2,correlation
all,pooled_calibration,pearson,7000,F,B,0.5913404819815886
all,pooled_calibration,pearson,7000,F,L,0.503815055975047
all,pooled_calibration,pearson,7000,B,L,0.5749695371526001
all,pooled_calibration,spearman,7000,F,B,0.48016776236206565
all,pooled_calibration,spearman,7000,F,L,0.40293909965902575
all,pooled_calibration,spearman,7000,B,L,0.6039506442375717
all,corridor_calibration,pearson,3500,F,B,0.5408105163166363
all,corridor_calibration,pearson,3500,F,L,0.496470522523214
all,corridor_calibration,pearson,3500,B,L,0.5510100013690208
all,corridor_calibration,spearman,3500,F,B,0.44924528316002615
all,corridor_calibration,spearman,3500,F,L,0.37626885892606915
all,corridor_calibration,spearman,3500,B,L,0.5777185116696867
all,classroom_calibration,pearson,3500,F,B,0.6367556573987385
all,classroom_calibration,pearson,3500,F,L,0.5070267873361929
all,classroom_calibration,pearson,3500,B,L,0.5960552005675742
all,classroom_calibration,spearman,3500,F,B,0.5074342227647008
all,classroom_calibration,spearman,3500,F,L,0.4208627639541499
all,classroom_calibration,spearman,3500,B,L,0.6271874782139322
all,pooled_calibration_no_trap,pearson,6790,F,B,0.6085991189822726
all,pooled_calibration_no_trap,pearson,6790,F,L,0.5164833300767039
all,pooled_calibration_no_trap,pearson,6790,B,L,0.5783706526994647
all,pooled_calibration_no_trap,spearman,6790,F,B,0.4924558912972528
all,pooled_calibration_no_trap,spearman,6790,F,L,0.4113015671187489
all,pooled_calibration_no_trap,spearman,6790,B,L,0.60739660599859
all,pooled_all_rounds,pearson,10000,F,B,0.5799644371743259
all,pooled_all_rounds,pearson,10000,F,L,0.48785268134968934
all,pooled_all_rounds,pearson,10000,B,L,0.5587502855577363
all,pooled_all_rounds,spearman,10000,F,B,0.46486825239809376
all,pooled_all_rounds,spearman,10000,F,L,0.3891919333118413
all,pooled_all_rounds,spearman,10000,B,L,0.5868542410159776
walk,pooled_calibration,pearson,3962,F,B,0.7148531907702053
walk,pooled_calibration,pearson,3962,F,L,0.45169771658540564
walk,pooled_calibration,pearson,3962,B,L,0.6318454596852197
walk,pooled_calibration,spearman,3962,F,B,0.40835891891166437
walk,pooled_calibration,spearman,3962,F,L,0.3931719729988563
walk,pooled_calibration,spearman,3962,B,L,0.6291265084513945
walk,corridor_calibration,pearson,1894,F,B,0.7176436698312348
walk,corridor_calibration,pearson,1894,F,L,0.4825456978692795
walk,corridor_calibration,pearson,1894,B,L,0.6198366191437688
walk,corridor_calibration,spearman,1894,F,B,0.35392080058250897
walk,corridor_calibration,spearman,1894,F,L,0.3964597368380306
walk,corridor_calibration,spearman,1894,B,L,0.6049302528371648
walk,classroom_calibration,pearson,2068,F,B,0.7172165685003722
walk,classroom_calibration,pearson,2068,F,L,0.4361809580507346
walk,classroom_calibration,pearson,2068,B,L,0.636848785661257
walk,classroom_calibration,spearman,2068,F,B,0.46752696988240267
walk,classroom_calibration,spearman,2068,F,L,0.40237421664253675
walk,classroom_calibration,spearman,2068,B,L,0.6429630048927972
walk,pooled_calibration_no_trap,pearson,3854,F,B,0.7392352079317885
walk,pooled_calibration_no_trap,pearson,3854,F,L,0.46878594152689457
walk,pooled_calibration_no_trap,pearson,3854,B,L,0.6381900181304787
walk,pooled_calibration_no_trap,spearman,3854,F,B,0.4185352058216648
walk,pooled_calibration_no_trap,spearman,3854,F,L,0.4038497504473124
walk,pooled_calibration_no_trap,spearman,3854,B,L,0.6329525410079225
walk,pooled_all_rounds,pearson,5650,F,B,0.7068514060192204
walk,pooled_all_rounds,pearson,5650,F,L,0.43761588714620836
walk,pooled_all_rounds,pearson,5650,B,L,0.6105318283899595
walk,pooled_all_rounds,spearman,5650,F,B,0.3896802223527916
walk,pooled_all_rounds,spearman,5650,F,L,0.3729145249748011
walk,pooled_all_rounds,spearman,5650,B,L,0.6056953115448017
turn,pooled_calibration,pearson,3038,F,B,0.6145273664935857
turn,pooled_calibration,pearson,3038,F,L,0.6324173263032287
turn,pooled_calibration,pearson,3038,B,L,0.5461605426440748
turn,pooled_calibration,spearman,3038,F,B,0.5094639959090332
turn,pooled_calibration,spearman,3038,F,L,0.46312024954362335
turn,pooled_calibration,spearman,3038,B,L,0.5825256899118735
turn,corridor_calibration,pearson,1606,F,B,0.5810836811218422
turn,corridor_calibration,pearson,1606,F,L,0.6211639763969424
turn,corridor_calibration,pearson,1606,B,L,0.5104787989304347
turn,corridor_calibration,spearman,1606,F,B,0.4985963801927137
turn,corridor_calibration,spearman,1606,F,L,0.3736102161081781
turn,corridor_calibration,spearman,1606,B,L,0.5497951649005042
turn,classroom_calibration,pearson,1432,F,B,0.652448934740065
turn,classroom_calibration,pearson,1432,F,L,0.6437194184730636
turn,classroom_calibration,pearson,1432,B,L,0.5825360043803107
turn,classroom_calibration,spearman,1432,F,B,0.5407129677633767
turn,classroom_calibration,spearman,1432,F,L,0.5550259506445474
turn,classroom_calibration,spearman,1432,B,L,0.6161332001388227
turn,pooled_calibration_no_trap,pearson,2936,F,B,0.6188286896335583
turn,pooled_calibration_no_trap,pearson,2936,F,L,0.632009771914252
turn,pooled_calibration_no_trap,pearson,2936,B,L,0.5478962122709238
turn,pooled_calibration_no_trap,spearman,2936,F,B,0.5220910026906829
turn,pooled_calibration_no_trap,spearman,2936,F,L,0.46681412355174323
turn,pooled_calibration_no_trap,spearman,2936,B,L,0.5854179236918671
turn,pooled_all_rounds,pearson,4350,F,B,0.605803515614808
turn,pooled_all_rounds,pearson,4350,F,L,0.6199350047447794
turn,pooled_all_rounds,pearson,4350,B,L,0.5319260843683614
turn,pooled_all_rounds,spearman,4350,F,B,0.48942077774586107
turn,pooled_all_rounds,spearman,4350,F,L,0.45077191770815667
turn,pooled_all_rounds,spearman,4350,B,L,0.5700654619967769
