scene,subject,round,data_split
classroom,B,1,calibration
classroom,B,2,calibration
classroom,B,3,validation
classroom,B,4,validation
classroom,B,5,calibration
classroom,B,6,calibration
classroom,B,7,calibration
classroom,B,8,validation
classroom,B,9,calibration
classroom,B,10,validation
classroom,B,11,validation
classroom,B,12,calibration
classroom,B,13,validation
classroom,B,14,calibration
classroom,B,15,validation
classroom,B,16,calibration
classroom,B,17,calibration
classroom,B,18,calibration
classroom,B,19,validation
classroom,B,20,validation
classroom,B,21,calibration
classroom,B,22,calibration
classroom,B,23,calibration
classroom,B,24,validation
classroom,B,25,calibration
classroom,B,26,calibration
classroom,B,27,validation
classroom,B,28,calibration
classroom,B,29,calibration
classroom,B,30,validation
classroom,B,31,validation
classroom,B,32,calibration
classroom,B,33,calibration
classroom,B,34,validation
classroom,B,35,calibration
classroom,B,36,calibration
classroom,B,37,calibration
classroom,B,38,calibration
classroom,B,39,calibration
classroom,B,40,calibration
classroom,B,41,calibration
classroom,B,42,calibration
classroom,B,43,calibration
classroom,B,44,calibration
classroom,B,45,calibration
classroom,B,46,calibration
classroom,B,47,validation
classroom,B,48,calibration
classroom,B,49,calibration
classroom,B,50,calibration
corridor,B,1,calibration
corridor,B,2,calibration
corridor,B,3,validation
corridor,B,4,calibration
corridor,B,5,calibration
corridor,B,6,calibration
corridor,B,7,calibration
corridor,B,8,calibration
corridor,B,9,calibration
corridor,B,10,calibration
corridor,B,11,calibration
corridor,B,12,calibration
corridor,B,13,validation
corridor,B,14,validation
corridor,B,15,calibration
corridor,B,16,validation
corridor,B,17,validation
corridor,B,18,validation
corridor,B,19,calibration
corridor,B,20,calibration
corridor,B,21,calibration
corridor,B,22,calibration
corridor,B,23,validation
corridor,B,24,calibration
corridor,B,25,calibration
corridor,B,26,calibration
corridor,B,27,calibration
corridor,B,28,calibration
corridor,B,29,validation
corridor,B,30,calibration
corridor,B,31,calibration
corridor,B,32,validation
corridor,B,33,calibration
corridor,B,34,calibration
corridor,B,35,calibration
corridor,B,36,validation
corridor,B,37,calibration
corridor,B,38,calibration
corridor,B,39,calibration
corridor,B,40,validation
corridor,B,41,validation
corridor,B,42,calibration
corridor,B,43,validation
corridor,B,44,validation
corridor,B,45,calibration
corridor,B,46,calibration
corridor,B,47,validation
corridor,B,48,calibration
corridor,B,49,calibration
corridor,B,50,calibration
