population,scope,indicator,n_steps,mean,std,zero_rate,entropy,divergence,weight
all,pooled_calibration,F,7000,0.12786319999999998,0.3070991968210663,0.5592857142857143,0.7944883481941968,0.20551165180580322,0.39918914477108985
all,pooled_calibration,B,7000,0.20424148571428571,0.2994796851241334,0.5297142857142857,0.8872384825958338,0.11276151740416618,0.2190297888228466
all,pooled_calibration,L,7000,0.07447590000000001,0.16759807911465407,0.8065714285714286,0.8034504229059551,0.19654957709404486,0.3817810664060635
all,corridor_calibration,F,3500,0.11252380000000001,0.29365804196283884,0.5974285714285714,0.7586820529181229,0.24131794708187715,0.39717350175494726
all,corridor_calibration,B,3500,0.19180534285714287,0.29824131547281524,0.5694285714285714,0.867575040045637,0.132424959954363,0.21795181709791248
all,corridor_calibration,L,3500,0.06265057142857143,0.15575166770109106,0.836,0.7661546716288128,0.2338453283711872,0.3848746811471403
all,classroom_calibration,F,3500,0.1432026,0.3192820262395076,0.5211428571428571,0.7930299513547729,0.20697004864522706,0.4014434689750423
all,classroom_calibration,B,3500,0.21667762857142858,0.30024075362874886,0.49,0.8870169947696822,0.11298300523031779,0.21914421845950552
all,classroom_calibration,L,3500,0.08630122857142858,0.17789862643491625,0.7771428571428571,0.8043884360884901,0.1956115639115099,0.3794123125654522
all,pooled_calibration_no_trap,F,6790,0.12321326951399116,0.3022781707769663,0.565979381443299,0.7895734288995293,0.2104265711004707,0.4053639761536672
all,pooled_calibration_no_trap,B,6790,0.20560515463917525,0.30029104695211534,0.5287187039764359,0.8873315372525634,0.11266846274743658,0.21704357870573154
all,pooled_calibration_no_trap,L,6790,0.07530653902798233,0.16843808529267065,0.8042709867452136,0.8039897766488777,0.19601022335112228,0.37759244514060125
all,pooled_all_rounds,F,10000,0.11931045,0.29788717549892973,0.5651,0.7959931830494229,0.2040068169505771,0.39949892635539974
all,pooled_all_rounds,B,10000,0.19654295,0.29330894198070756,0.538,0.8893835263875292,0.11061647361247084,0.2166161067848449
all,pooled_all_rounds,L,10000,0.07017751000000001,0.16400130734259682,0.8187,0.8039665566095509,0.19603344339044915,0.38388496685975537
walk,pooled_calibration,F,3962,0.1403555527511358,0.3440175958460026,0.717819283190308,0.767445324823983,0.23255467517601702,0.3840851384207818
walk,pooled_calibration,B,3962,0.13430315497223624,0.23160471906918936,0.6130742049469965,0.8544559098527982,0.14554409014720182,0.2403792655133848
walk,pooled_calibration,L,3962,0.0638839222614841,0.1546810849044817,0.8369510348308935,0.7726218751415337,0.2273781248584663,0.3755355960658334
turn,pooled_calibration,F,3038,0.11157132982225149,0.2500402282502559,0.35253456221198154,0.7970761547922066,0.20292384520779339,0.4107829295508192
turn,pooled_calibration,B,3038,0.2954513824884793,0.3493266558147135,0.4210006583278473,0.9058843269328907,0.09411567306710933,0.19052030016268146
turn,pooled_calibration,L,3038,0.08828940092165899,0.18218274562011208,0.7669519420671495,0.8030466314972425,0.19695336850275746,0.39869677028649936
