data_split,action,bin_left,bin_right,bin_mid,count,fraction
all,all,0.0,0.02,0.01,5454,0.5454
all,all,0.02,0.04,0.03,735,0.0735
all,all,0.04,0.06,0.05,567,0.0567
all,all,0.06,0.08,0.07,291,0.0291
all,all,0.08,0.1,0.09,300,0.03
all,all,0.1,0.12,0.11,166,0.0166
all,all,0.12,0.14,0.13,92,0.0092
all,all,0.14,0.16,0.15000000000000002,83,0.0083
all,all,0.16,0.18,0.16999999999999998,101,0.0101
all,all,0.18,0.2,0.19,95,0.0095
all,all,0.2,0.22,0.21000000000000002,101,0.0101
all,all,0.22,0.24,0.22999999999999998,164,0.0164
all,all,0.24,0.26,0.25,133,0.0133
all,all,0.26,0.28,0.27,185,0.0185
all,all,0.28,0.3,0.29000000000000004,117,0.0117
all,all,0.3,0.32,0.31,53,0.0053
all,all,0.32,0.34,0.33,25,0.0025
all,all,0.34,0.36,0.35,38,0.0038
all,all,0.36,0.38,0.37,25,0.0025
all,all,0.38,0.4,0.39,124,0.0124
all,all,0.4,0.42,0.41000000000000003,19,0.0019
all,all,0.42,0.44,0.43,23,0.0023
all,all,0.44,0.46,0.45,28,0.0028
all,all,0.46,0.48,0.47,49,0.0049
all,all,0.48,0.5,0.49,63,0.0063
all,all,0.5,0.52,0.51,75,0.0075
all,all,0.52,0.54,0.53,73,0.0073
all,all,0.54,0.56,0.55,47,0.0047
all,all,0.56,0.58,0.5700000000000001,41,0.0041
all,all,0.58,0.6,0.59,36,0.0036
all,all,0.6,0.62,0.61,76,0.0076
all,all,0.62,0.64,0.63,74,0.0074
all,all,0.64,0.66,0.65,48,0.0048
all,all,0.66,0.68,0.67,40,0.004
all,all,0.68,0.7000000000000001,0.6900000000000001,81,0.0081
all,all,0.7000000000000001,0.72,0.71,118,0.0118
all,all,0.72,0.74,0.73,95,0.0095
all,all,0.74,0.76,0.75,49,0.0049
all,all,0.76,0.78,0.77,39,0.0039
all,all,0.78,0.8,0.79,23,0.0023
all,all,0.8,0.8200000000000001,0.81,18,0.0018
all,all,0.8200000000000001,0.84,0.8300000000000001,15,0.0015
all,all,0.84,0.86,0.85,6,0.0006
all,all,0.86,0.88,0.87,2,0.0002
all,all,0.88,0.9,0.89,2,0.0002
all,all,0.9,0.92,0.91,5,0.0005
all,all,0.92,0.9400000000000001,0.93,1,0.0001
all,all,0.9400000000000001,0.96,0.95,3,0.0003
all,all,0.96,0.98,0.97,1,0.0001
all,all,0.98,1.0,0.99,1,0.0001
all,walk,0.0,0.02,0.01,3558,0.6297345132743363
all,walk,0.02,0.04,0.03,418,0.07398230088495575
all,walk,0.04,0.06,0.05,291,0.05150442477876106
all,walk,0.06,0.08,0.07,119,0.021061946902654866
all,walk,0.08,0.1,0.09,107,0.018938053097345132
all,walk,0.1,0.12,0.11,29,0.005132743362831859
all,walk,0.12,0.14,0.13,22,0.0038938053097345134
all,walk,0.14,0.16,0.15000000000000002,17,0.003008849557522124
all,walk,0.16,0.18,0.16999999999999998,24,0.004247787610619469
all,walk,0.18,0.2,0.19,19,0.0033628318584070795
all,walk,0.2,0.22,0.21000000000000002,44,0.007787610619469027
all,walk,0.22,0.24,0.22999999999999998,74,0.013097345132743363
all,walk,0.24,0.26,0.25,75,0.01327433628318584
all,walk,0.26,0.28,0.27,80,0.01415929203539823
all,walk,0.28,0.3,0.29000000000000004,21,0.0037168141592920354
all,walk,0.3,0.32,0.31,6,0.0010619469026548673
all,walk,0.32,0.34,0.33,2,0.00035398230088495576
all,walk,0.34,0.36,0.35,3,0.0005309734513274337
all,walk,0.36,0.38,0.37,2,0.00035398230088495576
all,walk,0.38,0.4,0.39,110,0.019469026548672566
all,walk,0.4,0.42,0.41000000000000003,5,0.0008849557522123894
all,walk,0.42,0.44,0.43,10,0.0017699115044247787
all,walk,0.44,0.46,0.45,22,0.0038938053097345134
all,walk,0.46,0.48,0.47,28,0.00495575221238938
all,walk,0.48,0.5,0.49,18,0.003185840707964602
all,walk,0.5,0.52,0.51,24,0.004247787610619469
all,walk,0.52,0.54,0.53,26,0.004601769911504424
all,walk,0.54,0.56,0.55,14,0.00247787610619469
all,walk,0.56,0.58,0.5700000000000001,18,0.003185840707964602
all,walk,0.58,0.6,0.59,24,0.004247787610619469
all,walk,0.6,0.62,0.61,58,0.010265486725663717
all,walk,0.62,0.64,0.63,56,0.00991150442477876
all,walk,0.64,0.66,0.65,34,0.006017699115044248
all,walk,0.66,0.68,0.67,20,0.0035398230088495575
all,walk,0.68,0.7000000000000001,0.6900000000000001,58,0.010265486725663717
all,walk,0.7000000000000001,0.72,0.71,67,0.011858407079646017
all,walk,0.72,0.74,0.73,51,0.009026548672566371
all,walk,0.74,0.76,0.75,44,0.007787610619469027
all,walk,0.76,0.78,0.77,17,0.003008849557522124
all,walk,0.78,0.8,0.79,16,0.002831858407079646
all,walk,0.8,0.8200000000000001,0.81,6,0.0010619469026548673
all,walk,0.8200000000000001,0.84,0.8300000000000001,2,0.00035398230088495576
all,walk,0.84,0.86,0.85,4,0.0007079646017699115
all,walk,0.86,0.88,0.87,0,0.0
all,walk,0.88,0.9,0.89,2,0.00035398230088495576
all,walk,0.9,0.92,0.91,0,0.0
all,walk,0.92,0.9400000000000001,0.93,1,0.00017699115044247788
all,walk,0.9400000000000001,0.96,0.95,2,0.00035398230088495576
all,walk,0.96,0.98,0.97,1,0.00017699115044247788
all,walk,0.98,1.0,0.99,1,0.00017699115044247788
all,turn,0.0,0.02,0.01,1896,0.43586206896551727
all,turn,0.02,0.04,0.03,317,0.07287356321839081
all,turn,0.04,0.06,0.05,276,0.06344827586206897
all,turn,0.06,0.08,0.07,172,0.03954022988505747
all,turn,0.08,0.1,0.09,193,0.044367816091954025
all,turn,0.1,0.12,0.11,137,0.031494252873563215
all,turn,0.12,0.14,0.13,70,0.016091954022988506
all,turn,0.14,0.16,0.15000000000000002,66,0.015172413793103448
all,turn,0.16,0.18,0.16999999999999998,77,0.017701149425287357
all,turn,0.18,0.2,0.19,76,0.01747126436781609
all,turn,0.2,0.22,0.21000000000000002,57,0.01310344827586207
all,turn,0.22,0.24,0.22999999999999998,90,0.020689655172413793
all,turn,0.24,0.26,0.25,58,0.013333333333333334
all,turn,0.26,0.28,0.27,105,0.02413793103448276
all,turn,0.28,0.3,0.29000000000000004,96,0.022068965517241378
